time (cs),x_acceleration(g)
2358,-0.002221520757302642
2360,-0.0034556991886347532
2362,-0.0014810138382017612
2364,-0.0012341781985014677
2366,-0.0019746851176023483
2368,-0.0019746851176023483
2370,-0.0007405069191008806
2372,-0.0012341781985014677
2374,-0.002221520757302642
2376,-0.0017278495943173766
2378,-0.0007405069191008806
2380,-0.0012341781985014677
2382,-0.0017278495943173766
2384,-0.0017278495943173766
2386,-0.0014810138382017612
2388,-0.0017278495943173766
2390,-0.0014810138382017612
2392,-0.0014810138382017612
2394,-0.0012341781985014677
2396,-0.0014810138382017612
2398,-0.0012341781985014677
2400,-0.0017278495943173766
2402,-0.0014810138382017612
2404,-0.0019746851176023483
2406,-0.0024683563970029354
2408,-0.0024683563970029354
2410,-0.0014810138382017612
2412,-0.0019746851176023483
2414,-0.002221520757302642
2416,-0.0014810138382017612
2418,-0.0019746851176023483
2420,-0.0019746851176023483
2422,-0.0014810138382017612
2424,-0.0017278495943173766
2426,-0.0012341781985014677
2428,-0.002221520757302642
2430,-0.0012341781985014677
2432,-0.0014810138382017612
2434,-0.0019746851176023483
2436,-0.0014810138382017612
2438,-0.0014810138382017612
2440,-0.0019746851176023483
2442,-0.0017278495943173766
2444,-0.0012341781985014677
2446,-0.0019746851176023483
2448,-0.0017278495943173766
2450,-0.0019746851176023483
2452,-0.0017278495943173766
2454,-0.0014810138382017612
2456,-0.0017278495943173766
2458,-0.0012341781985014677
2460,-0.0009873425588011742
2462,-0.0024683563970029354
2464,-0.0019746851176023483
2466,-0.0017278495943173766
2468,-0.0017278495943173766
2470,-0.0014810138382017612
2472,-0.0017278495943173766
2474,-0.002221520757302642
2476,-0.0007405069191008806
2478,-0.002221520757302642
2480,-0.002715192036703229
2482,-0.0017278495943173766
2484,-0.0009873425588011742
2486,-0.0014810138382017612
2488,-0.0009873425588011742
2490,-0.0024683563970029354
2492,-0.0012341781985014677
2494,-0.0019746851176023483
2496,-0.0012341781985014677
2498,-0.0014810138382017612
2500,-0.0014810138382017612
2502,-0.002221520757302642
2504,-0.0017278495943173766
2506,-0.0014810138382017612
2508,-0.0019746851176023483
2510,-0.0014810138382017612
2512,-0.0009873425588011742
2514,-0.0014810138382017612
2516,-0.0017278495943173766
2518,-0.0019746851176023483
2520,-0.0017278495943173766
2522,-0.0017278495943173766
2524,-0.0009873425588011742
2526,-0.002221520757302642
2528,-0.0017278495943173766
2530,-0.0019746851176023483
2532,-0.0019746851176023483
2534,-0.0014810138382017612
2536,-0.0019746851176023483
2538,-0.0019746851176023483
2540,-0.0014810138382017612
2542,-0.0029620276764035225
2544,-0.0009873425588011742
2546,-0.002221520757302642
2548,-0.0017278495943173766
2550,-0.0012341781985014677
2552,-0.0024683563970029354
2554,-0.0009873425588011742
2556,-0.0014810138382017612
2558,-0.0012341781985014677
2560,-0.0012341781985014677
2562,-0.0014810138382017612
2564,-0.007651905063539743
2566,0.0016971214208751917
2568,-0.006664562504738569
2570,-0.004689877387136221
2572,0.00024244592350441962
2574,0.00024244592350441962
2576,-0.002715192036703229
2578,-0.0014810138382017612
2580,-0.002715192036703229
2582,-0.0017278495943173766
